Date,Province,Cases
2 mei 2020,Antwerpen,54
2 mei 2020,BrabantWallon,8
2 mei 2020,Brussels,18
2 mei 2020,Hainaut,45
2 mei 2020,WestVlaanderen,31
2 mei 2020,Liège,19
2 mei 2020,Limburg,27
2 mei 2020,Luxembourg,4
2 mei 2020,Namur,13
2 mei 2020,OostVlaanderen,25
3 mei 2020,Liège,10
3 mei 2020,Antwerpen,38
3 mei 2020,BrabantWallon,5
3 mei 2020,Brussels,15
3 mei 2020,Hainaut,9
3 mei 2020,Limburg,7
3 mei 2020,Namur,14
3 mei 2020,OostVlaanderen,9
3 mei 2020,VlaamsBrabant,13
3 mei 2020,WestVlaanderen,15
4 mei 2020,BrabantWallon,8
4 mei 2020,Brussels,60
4 mei 2020,Hainaut,43
4 mei 2020,Liège,50
4 mei 2020,Limburg,43
4 mei 2020,Luxembourg,8
4 mei 2020,Namur,36
4 mei 2020,OostVlaanderen,60
4 mei 2020,VlaamsBrabant,49
4 mei 2020,WestVlaanderen,134
4 mei 2020,Antwerpen,168
5 mei 2020,WestVlaanderen,71
5 mei 2020,VlaamsBrabant,37
5 mei 2020,OostVlaanderen,61
5 mei 2020,Namur,35
5 mei 2020,Luxembourg,5
5 mei 2020,Limburg,36
5 mei 2020,Liège,35
5 mei 2020,Hainaut,45
5 mei 2020,Brussels,60
5 mei 2020,BrabantWallon,7
5 mei 2020,Antwerpen,139
6 mei 2020,WestVlaanderen,49
6 mei 2020,Hainaut,65
6 mei 2020,VlaamsBrabant,43
6 mei 2020,OostVlaanderen,57
6 mei 2020,Namur,21
6 mei 2020,Luxembourg,8
6 mei 2020,Limburg,43
6 mei 2020,Liège,35
6 mei 2020,Brussels,45
6 mei 2020,BrabantWallon,13
6 mei 2020,Antwerpen,153
7 mei 2020,WestVlaanderen,69
7 mei 2020,BrabantWallon,9
7 mei 2020,Brussels,27
7 mei 2020,Hainaut,37
7 mei 2020,Liège,49
7 mei 2020,Limburg,39
7 mei 2020,Luxembourg,8
7 mei 2020,Namur,32
7 mei 2020,OostVlaanderen,35
7 mei 2020,VlaamsBrabant,19
7 mei 2020,Antwerpen,93
8 mei 2020,VlaamsBrabant,30
8 mei 2020,WestVlaanderen,63
8 mei 2020,OostVlaanderen,45
8 mei 2020,Namur,31
8 mei 2020,Luxembourg,13
8 mei 2020,Limburg,50
8 mei 2020,Liège,37
8 mei 2020,Hainaut,63
8 mei 2020,Brussels,32
8 mei 2020,BrabantWallon,13
8 mei 2020,Antwerpen,61
9 mei 2020,Antwerpen,41
9 mei 2020,BrabantWallon,7
9 mei 2020,Brussels,28
9 mei 2020,Hainaut,28
9 mei 2020,Liège,41
9 mei 2020,Luxembourg,4
9 mei 2020,Namur,11
9 mei 2020,OostVlaanderen,22
9 mei 2020,VlaamsBrabant,11
9 mei 2020,WestVlaanderen,27
9 mei 2020,Limburg,15
10 mei 2020,WestVlaanderen,10
10 mei 2020,VlaamsBrabant,7
10 mei 2020,OostVlaanderen,3
10 mei 2020,Namur,3
10 mei 2020,Limburg,9
10 mei 2020,Liège,25
10 mei 2020,Hainaut,10
10 mei 2020,Brussels,12
10 mei 2020,BrabantWallon,6
10 mei 2020,Antwerpen,28
11 mei 2020,WestVlaanderen,97
11 mei 2020,Antwerpen,85
11 mei 2020,BrabantWallon,8
11 mei 2020,Brussels,31
11 mei 2020,Hainaut,37
11 mei 2020,Liège,23
11 mei 2020,Limburg,54
11 mei 2020,Luxembourg,7
